subj_name = 02463d548, labels = 3
subj_name = 04219d415, labels = 1
subj_name = 04219d417, labels = 0
subj_name = 04219d419, labels = 0
-------------------------------------------
subj_name = 04221d429, labels = 1
subj_name = 04221d431, labels = 1
subj_name = 04221d433, labels = 1
subj_name = 04221d435, labels = 1
subj_name = 04221d437, labels = 1
subj_name = 04221d439, labels = 1
subj_name = 04221d441, labels = 1
subj_name = 04221d443, labels = 1
subj_name = 04221d445, labels = 1
subj_name = 04221d541, labels = 1
subj_name = 04221d543, labels = 1
subj_name = 04221d545, labels = 1
subj_name = 04221d547, labels = 1
subj_name = 04221d549, labels = 1
subj_name = 04221d551, labels = 1
subj_name = 04221d553, labels = 1
subj_name = 04221d555, labels = 1
-------------------------------------------
subj_name = 04222d391, labels = 0
subj_name = 04222d393, labels = 2
subj_name = 04222d395, labels = 0
subj_name = 04222d397, labels = 0
-------------------------------------------
subj_name = 04225d291, labels = 3
subj_name = 04225d293, labels = 2
subj_name = 04225d295, labels = 2
subj_name = 04225d297, labels = 2
subj_name = 04225d299, labels = 3
subj_name = 04225d301, labels = 3
subj_name = 04225d303, labels = 3
subj_name = 04225d305, labels = 2
subj_name = 04225d307, labels = 3
subj_name = 04225d396, labels = 2
subj_name = 04225d398, labels = 2
subj_name = 04225d400, labels = 2
subj_name = 04225d402, labels = 3
subj_name = 04225d404, labels = 3
subj_name = 04225d408, labels = 2
-------------------------------------------
subj_name = 04226d357, labels = 0
subj_name = 04226d359, labels = 1
subj_name = 04226d361, labels = 1
-------------------------------------------
subj_name = 04233d390, labels = 2
subj_name = 04233d392, labels = 0
subj_name = 04233d394, labels = 0
subj_name = 04233d396, labels = 2
subj_name = 04233d398, labels = 0
subj_name = 04233d400, labels = 0
subj_name = 04233d402, labels = 0
subj_name = 04233d498, labels = 0
subj_name = 04233d500, labels = 0
subj_name = 04233d502, labels = 2
subj_name = 04233d504, labels = 0
subj_name = 04233d506, labels = 0
subj_name = 04233d508, labels = 2
subj_name = 04233d510, labels = 0
subj_name = 04233d512, labels = 2
subj_name = 04233d514, labels = 0
-------------------------------------------
subj_name = 04236d154, labels = 3
subj_name = 04236d156, labels = 3
subj_name = 04236d158, labels = 2
subj_name = 04236d160, labels = 2
-------------------------------------------
subj_name = 04237d139, labels = 0
subj_name = 04237d141, labels = 2
subj_name = 04237d143, labels = 0
subj_name = 04237d145, labels = 0
subj_name = 04237d149, labels = 2
subj_name = 04237d151, labels = 2
subj_name = 04237d155, labels = 2
subj_name = 04237d157, labels = 2
-------------------------------------------
subj_name = 04239d378, labels = 0
subj_name = 04239d380, labels = 2
subj_name = 04239d382, labels = 3
subj_name = 04239d384, labels = 3
subj_name = 04239d386, labels = 3
subj_name = 04239d388, labels = 3
subj_name = 04239d390, labels = 2
subj_name = 04239d480, labels = 2
subj_name = 04239d482, labels = 2
subj_name = 04239d484, labels = 3
subj_name = 04239d486, labels = 2
subj_name = 04239d488, labels = 3
subj_name = 04239d490, labels = 2
subj_name = 04239d492, labels = 3
subj_name = 04239d494, labels = 2
subj_name = 04239d496, labels = 2
subj_name = 04239d498, labels = 3
-------------------------------------------
subj_name = 04261d297, labels = 2
subj_name = 04261d299, labels = 2
subj_name = 04261d301, labels = 2
subj_name = 04261d303, labels = 2
subj_name = 04261d329, labels = 3
subj_name = 04261d331, labels = 2
subj_name = 04261d333, labels = 3
-------------------------------------------
subj_name = 04265d261, labels = 0
subj_name = 04265d263, labels = 0
subj_name = 04265d265, labels = 0
subj_name = 04265d267, labels = 0
subj_name = 04265d269, labels = 0
subj_name = 04265d337, labels = 2
subj_name = 04265d339, labels = 0
subj_name = 04265d341, labels = 0
subj_name = 04265d343, labels = 2
subj_name = 04265d345, labels = 0
subj_name = 04265d347, labels = 0
-------------------------------------------
subj_name = 04267d149, labels = 3
-------------------------------------------
subj_name = 04273d246, labels = 2
subj_name = 04273d248, labels = 2
subj_name = 04273d250, labels = 2
subj_name = 04273d252, labels = 0
subj_name = 04273d254, labels = 2
subj_name = 04273d256, labels = 2
subj_name = 04273d288, labels = 2
subj_name = 04273d290, labels = 2
subj_name = 04273d292, labels = 2
subj_name = 04273d294, labels = 2
-------------------------------------------
subj_name = 04274d176, labels = 3
-------------------------------------------
subj_name = 04279d283, labels = 0
subj_name = 04279d285, labels = 1
subj_name = 04279d287, labels = 2
subj_name = 04279d289, labels = 1
-------------------------------------------
subj_name = 04284d53 , labels = 0
subj_name = 04284d55 , labels = 0
subj_name = 04284d57 , labels = 0
-------------------------------------------
subj_name = 04286d263, labels = 2
subj_name = 04286d265, labels = 2
subj_name = 04286d267, labels = 2
subj_name = 04286d269, labels = 2
subj_name = 04286d271, labels = 2
subj_name = 04286d273, labels = 2
subj_name = 04286d275, labels = 0
subj_name = 04286d277, labels = 0
subj_name = 04286d367, labels = 2
subj_name = 04286d369, labels = 2
subj_name = 04286d371, labels = 2
subj_name = 04286d373, labels = 2
subj_name = 04286d375, labels = 2
subj_name = 04286d377, labels = 2
subj_name = 04286d379, labels = 2
subj_name = 04286d381, labels = 0
subj_name = 04286d383, labels = 2
-------------------------------------------
subj_name = 04287d45 , labels = 3
subj_name = 04287d47 , labels = 3
subj_name = 04287d49 , labels = 2
subj_name = 04287d51 , labels = 3
subj_name = 04287d53 , labels = 2
-------------------------------------------
subj_name = 04288d252, labels = 0
subj_name = 04288d254, labels = 2
subj_name = 04288d256, labels = 2
subj_name = 04288d258, labels = 2
subj_name = 04288d260, labels = 2
subj_name = 04288d292, labels = 2
subj_name = 04288d294, labels = 0
subj_name = 04288d296, labels = 2
subj_name = 04288d298, labels = 2
subj_name = 04288d300, labels = 0
-------------------------------------------
subj_name = 04297d261, labels = 3
subj_name = 04297d263, labels = 3
subj_name = 04297d265, labels = 3
subj_name = 04297d267, labels = 2
subj_name = 04297d269, labels = 3
subj_name = 04297d305, labels = 3
subj_name = 04297d307, labels = 3
subj_name = 04297d309, labels = 3
subj_name = 04297d311, labels = 3
-------------------------------------------
subj_name = 04298d67 , labels = 1
subj_name = 04298d69 , labels = 0
subj_name = 04298d71 , labels = 1
subj_name = 04298d73 , labels = 1
-------------------------------------------
subj_name = 04299d191, labels = 2
subj_name = 04299d193, labels = 4
-------------------------------------------
subj_name = 04300d218, labels = 2
subj_name = 04300d220, labels = 0
subj_name = 04300d222, labels = 2
subj_name = 04300d224, labels = 0
subj_name = 04300d226, labels = 0
subj_name = 04300d228, labels = 0
subj_name = 04300d258, labels = 0
subj_name = 04300d260, labels = 2
-------------------------------------------
subj_name = 04301d240, labels = 2
subj_name = 04301d242, labels = 3
subj_name = 04301d244, labels = 2
subj_name = 04301d246, labels = 3
subj_name = 04301d248, labels = 3
subj_name = 04301d250, labels = 3
subj_name = 04301d252, labels = 2
subj_name = 04301d254, labels = 3
subj_name = 04301d256, labels = 2
subj_name = 04301d258, labels = 2
subj_name = 04301d349, labels = 2
subj_name = 04301d351, labels = 3
subj_name = 04301d353, labels = 3
subj_name = 04301d355, labels = 0
subj_name = 04301d357, labels = 3
subj_name = 04301d359, labels = 3
subj_name = 04301d361, labels = 2
-------------------------------------------
subj_name = 04302d116, labels = 3
subj_name = 04302d142, labels = 2
subj_name = 04302d144, labels = 3
subj_name = 04302d146, labels = 3
subj_name = 04302d148, labels = 2
-------------------------------------------
subj_name = 04309d161, labels = 2
subj_name = 04309d163, labels = 0
subj_name = 04309d165, labels = 2
subj_name = 04309d167, labels = 2
subj_name = 04309d169, labels = 2
subj_name = 04309d171, labels = 2
subj_name = 04309d173, labels = 2
subj_name = 04309d175, labels = 0
subj_name = 04309d245, labels = 0
subj_name = 04309d247, labels = 2
subj_name = 04309d249, labels = 0
subj_name = 04309d251, labels = 2
subj_name = 04309d253, labels = 2
-------------------------------------------
subj_name = 04311d226, labels = 3
subj_name = 04311d228, labels = 2
subj_name = 04311d230, labels = 3
subj_name = 04311d232, labels = 2
subj_name = 04311d234, labels = 2
subj_name = 04311d236, labels = 2
subj_name = 04311d280, labels = 2
subj_name = 04311d282, labels = 3
subj_name = 04311d284, labels = 3
-------------------------------------------
subj_name = 04312d207, labels = 3
subj_name = 04312d209, labels = 2
subj_name = 04312d211, labels = 2
subj_name = 04312d215, labels = 0
subj_name = 04312d217, labels = 3
subj_name = 04312d219, labels = 2
subj_name = 04312d221, labels = 3
subj_name = 04312d223, labels = 2
subj_name = 04312d225, labels = 3
-------------------------------------------
subj_name = 04313d56 , labels = 3
subj_name = 04313d58 , labels = 3
subj_name = 04313d60 , labels = 3
subj_name = 04313d62 , labels = 2
-------------------------------------------
subj_name = 04314d53 , labels = 2
subj_name = 04314d61 , labels = 2
-------------------------------------------
subj_name = 04319d186, labels = 2
subj_name = 04319d188, labels = 3
subj_name = 04319d190, labels = 2
subj_name = 04319d192, labels = 3
subj_name = 04319d196, labels = 3
subj_name = 04319d198, labels = 3
subj_name = 04319d264, labels = 2
subj_name = 04319d266, labels = 2
subj_name = 04319d268, labels = 2
subj_name = 04319d270, labels = 3
subj_name = 04319d272, labels = 3
subj_name = 04319d274, labels = 2
subj_name = 04319d276, labels = 2
subj_name = 04319d278, labels = 2
-------------------------------------------
subj_name = 04320d270, labels = 1
subj_name = 04320d272, labels = 0
subj_name = 04320d274, labels = 1
subj_name = 04320d276, labels = 1
subj_name = 04320d278, labels = 0
subj_name = 04320d280, labels = 1
subj_name = 04320d340, labels = 1
subj_name = 04320d342, labels = 1
subj_name = 04320d346, labels = 1
subj_name = 04320d348, labels = 1
subj_name = 04320d350, labels = 1
-------------------------------------------
subj_name = 04321d108, labels = 0
subj_name = 04321d110, labels = 2
subj_name = 04321d112, labels = 0
subj_name = 04321d114, labels = 0
subj_name = 04321d116, labels = 0
subj_name = 04321d118, labels = 1
-------------------------------------------
subj_name = 04322d130, labels = 0
subj_name = 04322d132, labels = 0
subj_name = 04322d134, labels = 0
subj_name = 04322d136, labels = 2
-------------------------------------------
subj_name = 04324d276, labels = 3
subj_name = 04324d278, labels = 2
subj_name = 04324d280, labels = 2
subj_name = 04324d282, labels = 2
subj_name = 04324d284, labels = 2
subj_name = 04324d286, labels = 2
subj_name = 04324d288, labels = 2
subj_name = 04324d290, labels = 2
subj_name = 04324d346, labels = 2
subj_name = 04324d348, labels = 2
subj_name = 04324d350, labels = 2
subj_name = 04324d354, labels = 2
subj_name = 04324d356, labels = 2
-------------------------------------------
subj_name = 04327d290, labels = 0
subj_name = 04327d292, labels = 2
subj_name = 04327d294, labels = 0
subj_name = 04327d296, labels = 4
subj_name = 04327d298, labels = 3
subj_name = 04327d300, labels = 2
subj_name = 04327d392, labels = 2
subj_name = 04327d394, labels = 4
subj_name = 04327d396, labels = 2
subj_name = 04327d398, labels = 3
subj_name = 04327d400, labels = 3
subj_name = 04327d406, labels = 4
subj_name = 04327d408, labels = 3
subj_name = 04327d410, labels = 4
-------------------------------------------
subj_name = 04329d100, labels = 0
subj_name = 04329d102, labels = 0
subj_name = 04329d104, labels = 0
subj_name = 04329d106, labels = 0
subj_name = 04329d108, labels = 2
subj_name = 04329d110, labels = 2
subj_name = 04329d112, labels = 0
-------------------------------------------
subj_name = 04334d300, labels = 0
subj_name = 04334d302, labels = 1
subj_name = 04334d304, labels = 1
subj_name = 04334d306, labels = 1
subj_name = 04334d308, labels = 0
subj_name = 04334d310, labels = 1
subj_name = 04334d312, labels = 1
subj_name = 04334d314, labels = 1
subj_name = 04334d410, labels = 0
subj_name = 04334d412, labels = 0
subj_name = 04334d414, labels = 1
subj_name = 04334d416, labels = 1
subj_name = 04334d418, labels = 1
subj_name = 04334d420, labels = 1
subj_name = 04334d422, labels = 1
subj_name = 04334d424, labels = 1
subj_name = 04334d426, labels = 0
subj_name = 04334d428, labels = 1
subj_name = 04334d430, labels = 1
subj_name = 04334d432, labels = 1
-------------------------------------------
subj_name = 04336d291, labels = 1
subj_name = 04336d293, labels = 0
subj_name = 04336d295, labels = 0
subj_name = 04336d297, labels = 0
subj_name = 04336d299, labels = 0
subj_name = 04336d301, labels = 0
subj_name = 04336d303, labels = 0
subj_name = 04336d393, labels = 0
subj_name = 04336d395, labels = 0
subj_name = 04336d397, labels = 0
subj_name = 04336d401, labels = 1
subj_name = 04336d403, labels = 0
subj_name = 04336d405, labels = 0
subj_name = 04336d407, labels = 4
subj_name = 04336d409, labels = 0
-------------------------------------------
subj_name = 04338d80 , labels = 3
subj_name = 04338d82 , labels = 3
subj_name = 04338d90 , labels = 2
-------------------------------------------
subj_name = 04339d226, labels = 0
subj_name = 04339d228, labels = 0
subj_name = 04339d230, labels = 0
subj_name = 04339d290, labels = 0
subj_name = 04339d292, labels = 0
subj_name = 04339d294, labels = 0
subj_name = 04339d296, labels = 0
subj_name = 04339d298, labels = 0
subj_name = 04339d300, labels = 4
-------------------------------------------
subj_name = 04341d155, labels = 0
subj_name = 04341d157, labels = 0
subj_name = 04341d189, labels = 0
subj_name = 04341d191, labels = 0
subj_name = 04341d193, labels = 0
-------------------------------------------
subj_name = 04343d319, labels = 2
subj_name = 04343d321, labels = 2
subj_name = 04343d323, labels = 3
subj_name = 04343d325, labels = 3
subj_name = 04343d327, labels = 2
subj_name = 04343d329, labels = 3
subj_name = 04343d331, labels = 2
subj_name = 04343d333, labels = 2
subj_name = 04343d335, labels = 2
subj_name = 04343d337, labels = 2
subj_name = 04343d427, labels = 2
subj_name = 04343d429, labels = 2
subj_name = 04343d431, labels = 2
subj_name = 04343d433, labels = 0
subj_name = 04343d435, labels = 3
subj_name = 04343d437, labels = 3
subj_name = 04343d439, labels = 2
subj_name = 04343d441, labels = 3
-------------------------------------------
subj_name = 04344d245, labels = 2
subj_name = 04344d247, labels = 2
subj_name = 04344d249, labels = 2
subj_name = 04344d251, labels = 2
subj_name = 04344d253, labels = 0
subj_name = 04344d335, labels = 2
subj_name = 04344d337, labels = 2
subj_name = 04344d339, labels = 2
subj_name = 04344d341, labels = 3
subj_name = 04344d345, labels = 2
subj_name = 04344d347, labels = 3
subj_name = 04344d349, labels = 3
subj_name = 04344d351, labels = 2
subj_name = 04344d353, labels = 2
-------------------------------------------
subj_name = 04347d289, labels = 2
subj_name = 04347d291, labels = 0
subj_name = 04347d293, labels = 2
subj_name = 04347d295, labels = 0
subj_name = 04347d297, labels = 0
subj_name = 04347d299, labels = 0
subj_name = 04347d301, labels = 3
subj_name = 04347d303, labels = 0
subj_name = 04347d305, labels = 0
subj_name = 04347d387, labels = 0
subj_name = 04347d389, labels = 0
subj_name = 04347d391, labels = 4
subj_name = 04347d393, labels = 0
subj_name = 04347d395, labels = 2
subj_name = 04347d397, labels = 2
subj_name = 04347d399, labels = 0
subj_name = 04347d401, labels = 0
subj_name = 04347d405, labels = 0
subj_name = 04347d407, labels = 0
-------------------------------------------
subj_name = 04349d312, labels = 2
subj_name = 04349d314, labels = 2
subj_name = 04349d316, labels = 2
subj_name = 04349d318, labels = 2
subj_name = 04349d320, labels = 3
subj_name = 04349d322, labels = 2
subj_name = 04349d324, labels = 2
subj_name = 04349d326, labels = 2
subj_name = 04349d328, labels = 3
subj_name = 04349d330, labels = 2
subj_name = 04349d406, labels = 2
subj_name = 04349d408, labels = 3
subj_name = 04349d410, labels = 3
subj_name = 04349d412, labels = 1
subj_name = 04349d414, labels = 2
subj_name = 04349d416, labels = 3
subj_name = 04349d418, labels = 3
-------------------------------------------
subj_name = 04350d258, labels = 0
subj_name = 04350d260, labels = 0
subj_name = 04350d262, labels = 0
subj_name = 04350d264, labels = 0
subj_name = 04350d266, labels = 0
subj_name = 04350d268, labels = 0
subj_name = 04350d322, labels = 0
subj_name = 04350d324, labels = 0
subj_name = 04350d326, labels = 0
subj_name = 04350d328, labels = 0
subj_name = 04350d330, labels = 2
subj_name = 04350d332, labels = 0
-------------------------------------------
subj_name = 04351d100, labels = 2
subj_name = 04351d102, labels = 2
subj_name = 04351d104, labels = 3
subj_name = 04351d106, labels = 3
subj_name = 04351d108, labels = 3
subj_name = 04351d96 , labels = 3
subj_name = 04351d98 , labels = 3
-------------------------------------------
subj_name = 04361d175, labels = 2
subj_name = 04361d177, labels = 3
subj_name = 04361d179, labels = 2
subj_name = 04361d181, labels = 2
subj_name = 04361d195, labels = 2
subj_name = 04361d197, labels = 3
-------------------------------------------
subj_name = 04365d320, labels = 0
subj_name = 04365d322, labels = 0
subj_name = 04365d324, labels = 0
subj_name = 04365d328, labels = 0
-------------------------------------------
subj_name = 04366d82 , labels = 0
-------------------------------------------
subj_name = 04369d246, labels = 3
subj_name = 04369d248, labels = 3
subj_name = 04369d250, labels = 3
subj_name = 04369d252, labels = 3
-------------------------------------------
subj_name = 04370d223, labels = 3
subj_name = 04370d225, labels = 3
subj_name = 04370d227, labels = 3
subj_name = 04370d229, labels = 3
subj_name = 04370d231, labels = 3
subj_name = 04370d233, labels = 3
subj_name = 04370d235, labels = 2
subj_name = 04370d295, labels = 3
subj_name = 04370d297, labels = 3
subj_name = 04370d299, labels = 3
subj_name = 04370d301, labels = 3
subj_name = 04370d303, labels = 3
subj_name = 04370d305, labels = 2
-------------------------------------------
subj_name = 04372d269, labels = 0
subj_name = 04372d271, labels = 0
subj_name = 04372d273, labels = 0
subj_name = 04372d275, labels = 0
subj_name = 04372d277, labels = 2
subj_name = 04372d331, labels = 0
subj_name = 04372d333, labels = 0
subj_name = 04372d335, labels = 1
subj_name = 04372d337, labels = 0
subj_name = 04372d341, labels = 0
subj_name = 04372d343, labels = 0
-------------------------------------------
subj_name = 04373d54 , labels = 0
subj_name = 04373d56 , labels = 0
subj_name = 04373d58 , labels = 2
subj_name = 04373d60 , labels = 2
subj_name = 04373d62 , labels = 2
-------------------------------------------
subj_name = 04374d211, labels = 2
subj_name = 04374d213, labels = 3
-------------------------------------------
subj_name = 04378d201, labels = 2
subj_name = 04378d203, labels = 3
subj_name = 04378d205, labels = 2
subj_name = 04378d207, labels = 3
subj_name = 04378d209, labels = 3
subj_name = 04378d211, labels = 2
subj_name = 04378d229, labels = 2
subj_name = 04378d231, labels = 2
-------------------------------------------
subj_name = 04379d280, labels = 0
subj_name = 04379d282, labels = 1
subj_name = 04379d284, labels = 1
subj_name = 04379d286, labels = 0
subj_name = 04379d288, labels = 0
subj_name = 04379d290, labels = 0
subj_name = 04379d292, labels = 0
subj_name = 04379d294, labels = 1
subj_name = 04379d296, labels = 1
subj_name = 04379d357, labels = 0
subj_name = 04379d359, labels = 1
subj_name = 04379d361, labels = 1
subj_name = 04379d363, labels = 0
subj_name = 04379d365, labels = 0
subj_name = 04379d367, labels = 1
-------------------------------------------
subj_name = 04381d106, labels = 3
subj_name = 04381d108, labels = 3
subj_name = 04381d110, labels = 3
subj_name = 04381d112, labels = 3
subj_name = 04381d114, labels = 3
-------------------------------------------
subj_name = 04382d170, labels = 3
subj_name = 04382d172, labels = 3
subj_name = 04382d174, labels = 3
subj_name = 04382d176, labels = 3
subj_name = 04382d190, labels = 3
subj_name = 04382d192, labels = 3
-------------------------------------------
subj_name = 04385d323, labels = 2
subj_name = 04385d325, labels = 2
subj_name = 04385d327, labels = 2
subj_name = 04385d329, labels = 2
subj_name = 04385d331, labels = 2
subj_name = 04385d333, labels = 2
subj_name = 04385d335, labels = 2
subj_name = 04385d337, labels = 3
subj_name = 04385d339, labels = 0
subj_name = 04385d431, labels = 2
subj_name = 04385d433, labels = 2
subj_name = 04385d435, labels = 3
subj_name = 04385d437, labels = 2
subj_name = 04385d439, labels = 2
subj_name = 04385d441, labels = 3
subj_name = 04385d443, labels = 1
subj_name = 04385d445, labels = 2
subj_name = 04385d447, labels = 2
subj_name = 04385d449, labels = 3
subj_name = 04385d451, labels = 3
-------------------------------------------
subj_name = 04386d159, labels = 0
subj_name = 04386d161, labels = 0
subj_name = 04386d163, labels = 0
subj_name = 04386d165, labels = 1
-------------------------------------------
subj_name = 04387d322, labels = 0
subj_name = 04387d324, labels = 2
subj_name = 04387d326, labels = 2
subj_name = 04387d328, labels = 0
subj_name = 04387d330, labels = 0
subj_name = 04387d332, labels = 0
subj_name = 04387d334, labels = 0
subj_name = 04387d336, labels = 1
subj_name = 04387d425, labels = 0
subj_name = 04387d427, labels = 0
subj_name = 04387d429, labels = 0
subj_name = 04387d431, labels = 0
subj_name = 04387d433, labels = 0
subj_name = 04387d435, labels = 1
subj_name = 04387d437, labels = 0
subj_name = 04387d439, labels = 0
subj_name = 04387d441, labels = 1
subj_name = 04387d443, labels = 0
-------------------------------------------
subj_name = 04388d283, labels = 0
subj_name = 04388d285, labels = 0
subj_name = 04388d287, labels = 0
subj_name = 04388d289, labels = 0
subj_name = 04388d291, labels = 0
subj_name = 04388d293, labels = 0
subj_name = 04388d295, labels = 0
subj_name = 04388d297, labels = 0
subj_name = 04388d299, labels = 1
subj_name = 04388d301, labels = 0
subj_name = 04388d373, labels = 1
subj_name = 04388d375, labels = 0
subj_name = 04388d377, labels = 0
subj_name = 04388d379, labels = 0
subj_name = 04388d383, labels = 1
subj_name = 04388d385, labels = 0
-------------------------------------------
subj_name = 04394d295, labels = 0
subj_name = 04394d297, labels = 0
subj_name = 04394d299, labels = 0
subj_name = 04394d301, labels = 2
subj_name = 04394d303, labels = 0
subj_name = 04394d305, labels = 2
subj_name = 04394d307, labels = 0
subj_name = 04394d309, labels = 1
subj_name = 04394d395, labels = 2
subj_name = 04394d397, labels = 0
subj_name = 04394d399, labels = 0
subj_name = 04394d401, labels = 0
subj_name = 04394d403, labels = 0
subj_name = 04394d405, labels = 2
subj_name = 04394d407, labels = 0
subj_name = 04394d409, labels = 2
subj_name = 04394d411, labels = 0
subj_name = 04394d413, labels = 0
subj_name = 04394d415, labels = 2
subj_name = 04394d417, labels = 0
-------------------------------------------
subj_name = 04395d192, labels = 3
subj_name = 04395d194, labels = 3
subj_name = 04395d196, labels = 3
subj_name = 04395d198, labels = 3
subj_name = 04395d200, labels = 3
subj_name = 04395d202, labels = 3
subj_name = 04395d204, labels = 3
subj_name = 04395d206, labels = 3
subj_name = 04395d265, labels = 3
subj_name = 04395d267, labels = 3
subj_name = 04395d269, labels = 0
subj_name = 04395d273, labels = 2
-------------------------------------------
subj_name = 04397d332, labels = 2
subj_name = 04397d334, labels = 2
subj_name = 04397d336, labels = 2
subj_name = 04397d338, labels = 4
subj_name = 04397d340, labels = 2
subj_name = 04397d342, labels = 2
subj_name = 04397d344, labels = 0
subj_name = 04397d346, labels = 2
subj_name = 04397d348, labels = 0
subj_name = 04397d444, labels = 2
subj_name = 04397d446, labels = 2
subj_name = 04397d448, labels = 2
subj_name = 04397d450, labels = 2
subj_name = 04397d452, labels = 2
subj_name = 04397d454, labels = 4
subj_name = 04397d456, labels = 0
subj_name = 04397d458, labels = 4
subj_name = 04397d460, labels = 2
subj_name = 04397d462, labels = 0
subj_name = 04397d464, labels = 2
-------------------------------------------
subj_name = 04400d294, labels = 3
subj_name = 04400d296, labels = 3
subj_name = 04400d298, labels = 3
subj_name = 04400d300, labels = 3
subj_name = 04400d302, labels = 3
subj_name = 04400d304, labels = 3
subj_name = 04400d306, labels = 3
subj_name = 04400d376, labels = 2
subj_name = 04400d378, labels = 3
subj_name = 04400d380, labels = 3
subj_name = 04400d382, labels = 3
subj_name = 04400d384, labels = 3
subj_name = 04400d386, labels = 3
subj_name = 04400d388, labels = 3
subj_name = 04400d390, labels = 3
subj_name = 04400d392, labels = 3
-------------------------------------------
subj_name = 04404d209, labels = 1
subj_name = 04404d211, labels = 0
subj_name = 04404d213, labels = 1
subj_name = 04404d217, labels = 1
subj_name = 04404d219, labels = 1
subj_name = 04404d223, labels = 1
-------------------------------------------
subj_name = 04406d86 , labels = 4
subj_name = 04406d88 , labels = 1
subj_name = 04406d90 , labels = 2
subj_name = 04406d92 , labels = 0
subj_name = 04406d94 , labels = 2
-------------------------------------------
subj_name = 04407d261, labels = 3
subj_name = 04407d263, labels = 3
subj_name = 04407d265, labels = 3
subj_name = 04407d269, labels = 3
subj_name = 04407d271, labels = 3
subj_name = 04407d273, labels = 2
subj_name = 04407d315, labels = 3
subj_name = 04407d317, labels = 3
subj_name = 04407d319, labels = 3
subj_name = 04407d321, labels = 0
-------------------------------------------
subj_name = 04408d266, labels = 0
subj_name = 04408d268, labels = 0
subj_name = 04408d270, labels = 0
subj_name = 04408d272, labels = 0
subj_name = 04408d274, labels = 0
subj_name = 04408d276, labels = 1
subj_name = 04408d278, labels = 0
subj_name = 04408d280, labels = 0
subj_name = 04408d282, labels = 1
subj_name = 04408d360, labels = 0
subj_name = 04408d362, labels = 0
subj_name = 04408d364, labels = 0
